Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,18.059999,18.290001,17.955000,18.245001,18.245001,4202469
2019-05-20,18.330000,18.330000,17.790001,17.934999,17.934999,4455665
2019-05-21,17.975000,18.070000,17.785000,17.895000,17.895000,3923957
2019-05-22,17.830000,17.860001,17.365000,17.540001,17.540001,6022209
2019-05-23,17.400000,17.584999,17.059999,17.475000,17.475000,5565029
2019-05-24,17.555000,17.639999,17.360001,17.410000,17.410000,3295726
2019-05-27,17.555000,17.559999,17.334999,17.465000,17.465000,1631243
2019-05-28,17.459999,17.680000,17.309999,17.459999,17.459999,3926948
2019-05-29,17.379999,17.475000,17.225000,17.385000,17.385000,2996695
2019-05-30,17.385000,17.385000,17.080000,17.320000,17.320000,2448565
2019-05-31,17.184999,17.184999,16.825001,17.049999,17.049999,3476809
2019-06-03,17.040001,17.155001,16.924999,17.105000,17.105000,2969937
2019-06-04,17.059999,17.629999,16.934999,17.485001,17.485001,5924208
2019-06-05,17.549999,17.730000,17.400000,17.525000,17.525000,4310888
2019-06-06,17.540001,17.825001,17.420000,17.500000,17.500000,3039533
2019-06-07,17.540001,17.635000,17.334999,17.584999,17.584999,3133370
2019-06-11,17.650000,17.825001,17.540001,17.655001,17.655001,3365675
2019-06-12,17.670000,17.805000,17.570000,17.684999,17.684999,2432642
2019-06-13,17.700001,17.980000,17.559999,17.905001,17.905001,3078675
2019-06-14,18.014999,18.014999,17.620001,17.690001,17.690001,2597986
2019-06-17,16.000000,16.120001,15.415000,15.635000,15.635000,23424112
2019-06-18,15.500000,15.545000,14.850000,15.280000,15.280000,12154080
2019-06-19,15.160000,15.265000,14.925000,15.060000,15.060000,7575186
2019-06-20,15.120000,15.145000,14.915000,14.960000,14.960000,4430391
2019-06-21,14.910000,14.975000,14.755000,14.815000,14.815000,8676440
2019-06-24,14.965000,14.965000,14.540000,14.695000,14.695000,6033987
2019-06-25,14.585000,14.635000,14.335000,14.635000,14.635000,5391155
2019-06-26,14.510000,14.975000,14.510000,14.840000,14.840000,4340513
2019-06-27,14.955000,15.195000,14.790000,14.790000,14.790000,4750055
2019-06-28,14.820000,15.100000,14.780000,15.070000,15.070000,5027877
2019-07-01,15.100000,15.270000,14.810000,14.980000,14.980000,5032648
2019-07-02,15.050000,15.230000,14.975000,15.105000,15.105000,3691653
2019-07-03,15.140000,15.270000,15.050000,15.230000,15.230000,2743318
2019-07-04,15.125000,15.445000,15.100000,15.370000,15.370000,2936299
2019-07-05,15.420000,15.500000,15.200000,15.325000,15.325000,3488335
2019-07-08,15.290000,15.410000,15.170000,15.230000,15.230000,2597818
2019-07-09,15.140000,15.140000,14.750000,14.925000,14.925000,5413580
2019-07-10,14.965000,15.220000,14.930000,14.970000,14.970000,3871793
2019-07-11,15.000000,15.065000,14.730000,14.915000,14.915000,3859164
2019-07-12,14.935000,15.140000,14.890000,14.960000,14.960000,3238227
2019-07-15,15.030000,15.080000,14.805000,14.870000,14.870000,2700283
2019-07-16,14.895000,15.450000,14.840000,15.260000,15.260000,6327990
2019-07-17,15.265000,15.345000,15.050000,15.120000,15.120000,3738629
2019-07-18,15.020000,15.125000,14.805000,14.925000,14.925000,4207756
2019-07-19,14.960000,15.110000,14.945000,15.055000,15.055000,2909262
2019-07-22,15.050000,15.360000,15.005000,15.235000,15.235000,3073168
2019-07-23,15.100000,15.330000,14.980000,15.285000,15.285000,3994014
2019-07-24,15.300000,15.435000,15.135000,15.385000,15.385000,2891996
2019-07-25,15.480000,15.585000,15.035000,15.210000,15.210000,4051993
2019-07-26,15.185000,15.190000,14.975000,15.035000,15.035000,3318681
2019-07-29,15.105000,15.220000,15.050000,15.120000,15.120000,3260476
2019-07-30,15.000000,15.080000,14.005000,14.210000,14.210000,11285831
2019-07-31,14.150000,14.475000,14.105000,14.375000,14.375000,4796682
2019-08-01,14.340000,14.650000,14.290000,14.585000,14.585000,3312742
2019-08-02,14.380000,14.650000,14.215000,14.515000,14.515000,5507299
2019-08-05,14.395000,14.835000,14.300000,14.530000,14.530000,4895056
2019-08-06,14.580000,14.805000,14.410000,14.450000,14.450000,3461272
2019-08-07,14.540000,14.575000,14.290000,14.530000,14.530000,3855974
2019-08-08,14.640000,14.820000,14.475000,14.680000,14.680000,2964280
2019-08-09,14.675000,14.730000,14.315000,14.415000,14.415000,3143177
2019-08-12,14.485000,14.495000,14.070000,14.125000,14.125000,3951775
2019-08-13,14.085000,14.085000,13.460000,13.830000,13.830000,6706519
2019-08-14,13.850000,13.930000,13.430000,13.565000,13.565000,4121553
2019-08-15,13.575000,13.580000,12.845000,12.845000,12.845000,8024924
2019-08-16,12.965000,13.150000,12.580000,13.095000,13.095000,6538130
2019-08-19,13.150000,13.495000,13.140000,13.280000,13.280000,4620187
2019-08-20,13.270000,13.300000,12.945000,13.065000,13.065000,4536805
2019-08-21,13.070000,13.245000,13.030000,13.170000,13.170000,1988543
2019-08-22,13.100000,13.420000,13.050000,13.230000,13.230000,2848418
2019-08-23,13.325000,13.720000,13.100000,13.100000,13.100000,6072559
2019-08-26,13.155000,13.490000,13.155000,13.450000,13.450000,4054058
2019-08-27,13.650000,14.105000,13.325000,13.850000,13.850000,6987039
2019-08-28,13.980000,14.000000,13.650000,13.810000,13.810000,3453659
2019-08-29,13.815000,13.995000,13.695000,13.985000,13.985000,3747962
2019-08-30,13.960000,14.145000,13.900000,13.980000,13.980000,4022113
2019-09-02,14.010000,14.225000,13.950000,13.975000,13.975000,3176274
2019-09-03,14.050000,14.085000,13.710000,13.800000,13.800000,4197621
2019-09-04,13.915000,14.055000,13.790000,13.885000,13.885000,3339698
2019-09-05,13.975000,14.195000,13.905000,14.135000,14.135000,3608857
2019-09-06,14.195000,14.305000,13.895000,14.135000,14.135000,4417804
2019-09-09,14.200000,14.285000,13.690000,14.090000,14.090000,5583793
2019-09-10,14.120000,14.655000,14.095000,14.535000,14.535000,6782530
2019-09-11,14.675000,14.840000,14.645000,14.785000,14.785000,5004026
2019-09-12,14.855000,14.980000,14.440000,14.645000,14.645000,5226988
2019-09-13,14.700000,14.970000,14.700000,14.945000,14.945000,4128252
2019-09-16,14.480000,14.650000,14.275000,14.520000,14.520000,6500289
2019-09-17,14.445000,14.560000,14.175000,14.505000,14.505000,5173554
2019-09-18,14.540000,14.585000,14.325000,14.425000,14.425000,2782587
2019-09-19,14.165000,14.405000,13.985000,13.995000,13.995000,8219912
2019-09-20,14.070000,14.215000,14.025000,14.075000,14.075000,6305538
2019-09-23,14.100000,14.330000,14.045000,14.215000,14.215000,4708936
2019-09-24,14.290000,14.755000,14.290000,14.505000,14.505000,4847001
2019-09-25,14.485000,14.490000,14.085000,14.175000,14.175000,4209175
2019-09-26,14.065000,14.115000,13.685000,13.830000,13.830000,8207113
2019-09-27,13.860000,14.280000,13.785000,14.280000,14.280000,5133912
2019-09-30,14.315000,14.620000,14.305000,14.580000,14.580000,4174788
2019-10-01,14.545000,14.840000,14.520000,14.680000,14.680000,3975214
2019-10-02,14.590000,14.635000,14.395000,14.395000,14.395000,3718278
2019-10-04,14.450000,14.480000,13.815000,13.935000,13.935000,6426826
2019-10-07,14.005000,14.540000,13.985000,14.515000,14.515000,4966831
2019-10-08,14.595000,14.625000,13.890000,14.105000,14.105000,5637163
2019-10-09,14.065000,14.230000,14.020000,14.125000,14.125000,3338899
2019-10-10,14.190000,14.430000,14.190000,14.395000,14.395000,3915855
2019-10-11,14.460000,14.990000,14.430000,14.765000,14.765000,6274110
2019-10-14,14.760000,14.875000,14.445000,14.805000,14.805000,3681835
2019-10-15,14.880000,15.195000,14.750000,15.095000,15.095000,4535081
2019-10-16,15.140000,15.380000,14.720000,15.320000,15.320000,6928901
2019-10-17,15.270000,15.885000,15.270000,15.470000,15.470000,6701659
2019-10-18,15.455000,15.590000,15.425000,15.510000,15.510000,4030898
2019-10-21,15.550000,16.035000,15.550000,15.865000,15.865000,5452945
2019-10-22,15.960000,16.125000,15.575000,15.735000,15.735000,3737198
2019-10-23,15.670000,16.219999,15.530000,15.995000,15.995000,6404839
2019-10-24,16.065001,16.184999,15.740000,15.820000,15.820000,4340646
2019-10-25,15.885000,15.940000,15.565000,15.895000,15.895000,2885448
2019-10-28,15.830000,15.995000,15.695000,15.800000,15.800000,2665478
2019-10-29,15.825000,15.915000,15.565000,15.630000,15.630000,3615208
2019-10-30,15.820000,16.000000,15.455000,15.560000,15.560000,3631862
2019-10-31,15.420000,15.715000,15.340000,15.545000,15.545000,5697705
2019-11-01,15.630000,15.830000,15.535000,15.755000,15.755000,3040013
2019-11-04,15.870000,16.070000,15.820000,15.950000,15.950000,4072539
2019-11-05,15.990000,16.100000,15.815000,15.970000,15.970000,3147381
2019-11-06,16.014999,16.344999,16.010000,16.155001,16.155001,5684966
2019-11-07,16.500000,17.719999,16.495001,17.260000,17.260000,13663802
2019-11-08,17.235001,17.695000,16.930000,17.424999,17.424999,5938481
2019-11-11,17.395000,17.850000,17.245001,17.799999,17.799999,5466362
2019-11-12,17.799999,17.950001,17.565001,17.715000,17.715000,3428208
2019-11-13,17.680000,17.725000,17.375000,17.635000,17.635000,3114325
2019-11-14,17.615000,17.665001,17.395000,17.510000,17.510000,2771194
2019-11-15,17.629999,17.750000,17.514999,17.695000,17.695000,2853903
2019-11-18,17.645000,17.719999,17.350000,17.465000,17.465000,2549455
2019-11-19,17.450001,17.875000,17.360001,17.709999,17.709999,4066275
2019-11-20,17.480000,17.565001,17.165001,17.260000,17.260000,4099532
2019-11-21,17.150000,17.370001,16.965000,17.200001,17.200001,3368597
2019-11-22,17.264999,17.375000,16.995001,17.230000,17.230000,2744562
2019-11-25,17.360001,17.485001,17.094999,17.165001,17.165001,2450692
2019-11-26,17.209999,17.320000,17.094999,17.235001,17.235001,3296330
2019-11-27,17.350000,17.395000,17.125000,17.254999,17.254999,1900203
2019-11-28,17.225000,17.225000,16.879999,17.165001,17.165001,1923070
2019-11-29,17.205000,17.475000,17.125000,17.219999,17.219999,2533098
2019-12-02,17.450001,17.625000,16.969999,17.004999,17.004999,3742080
